sim,sampler,mcmc_iter,tau_current,running_tau,total_distance,accepted_count,accepted_rate,changed_count,changed_iteration_count,changed_iteration_rate,changed_recipient_rate
1,mcmc,3900,1.1149528492725123,0.8711371202504519,57.05764488186644,2267.0,0.5812820512820512,,,,
1,mcmc,4000,1.0419695443899335,0.877519743989118,62.693478169314744,2331.0,0.58275,,,,
1,mcmc,4100,1.0094012044269618,0.880932294121223,60.448560393567995,2390.0,0.5829268292682926,,,,
1,mcmc,4200,0.8243424732673513,0.8838044750354076,60.545841922860454,2456.0,0.5847619047619048,,,,
1,mcmc,4300,0.8306396365285852,0.8812804184838198,58.60180718473228,2516.0,0.5851162790697675,,,,
1,mcmc,4400,0.7585425509330782,0.8823351931151774,57.189747913137985,2570.0,0.5840909090909091,,,,
1,mcmc,4500,0.8513013657488461,0.8812051875837184,57.725247144590526,2628.0,0.584,,,,
1,mcmc,4600,0.7196174911495743,0.8779405938484596,57.740445511352,2687.0,0.5841304347826087,,,,
1,mcmc,4700,0.9530575749556081,0.8789288435677358,60.018753130910746,2743.0,0.5836170212765958,,,,
1,mcmc,4800,0.8394576877778743,0.8798797383088476,61.02721725101907,2800.0,0.5833333333333334,,,,
1,mcmc,4900,0.7494984213160268,0.8817730918405677,60.74672753153483,2858.0,0.583265306122449,,,,
1,mcmc,5000,0.8717926404924652,0.8809380523844744,59.58507379806885,2921.0,0.5842,,,,
1,mcmc,5100,1.0763940791598523,0.8829043253658705,58.40833715691893,2986.0,0.5854901960784313,,,,
1,mcmc,5200,0.9358484602657537,0.8848809978422474,59.65157677697155,3044.0,0.5853846153846154,,,,
1,mcmc,5300,0.8694887409061718,0.8844146518180528,59.13148324513402,3100.0,0.5849056603773585,,,,
1,mcmc,5400,0.7419848196190326,0.8857062491190194,56.22597783842964,3157.0,0.5846296296296296,,,,
1,mcmc,5500,0.6411898693641361,0.882519444913512,51.28394233629594,3214.0,0.5843636363636364,,,,
1,mcmc,5600,0.7533223551540579,0.8786619293286194,48.988886283765474,3263.0,0.5826785714285714,,,,
1,mcmc,5700,0.8732241194008941,0.8773755148204726,58.22044039614362,3308.0,0.5803508771929825,,,,
1,mcmc,5800,0.7734168983022053,0.8794655245060616,56.505101393785374,3373.0,0.581551724137931,,,,
1,mcmc,5900,0.8847938967077984,0.879556977596963,53.26108579667249,3426.0,0.5806779661016949,,,,
1,mcmc,6000,0.9734140915431522,0.8803914012053762,56.644075584715075,3481.0,0.5801666666666667,,,,
