sim,mcmc_iter,k,tau_current,running_tau,total_distance,accepted_iterations,accepted_iteration_rate,type1_count,type2_count,type1_acceptance_rate,type2_acceptance_rate
1,2400,2,0.9441811828970685,0.8703303343019174,121.65773759518332,1339,0.5579166666666666,1170,1230,0.5384615384615384,0.5764227642276423
1,2500,2,0.9290020163455589,0.8718387715690784,123.99461401168156,1398,0.5592,1215,1285,0.5374485596707819,0.5797665369649806
1,2600,2,0.8917547785729842,0.8744802243900264,119.47405121425356,1455,0.5596153846153846,1265,1335,0.5383399209486166,0.5797752808988764
1,2700,2,0.8497252519183045,0.8736843436880692,118.27829521899193,1511,0.5596296296296296,1326,1374,0.5392156862745098,0.5793304221251819
1,2800,2,0.7974187864929642,0.8729475862708005,123.40594207841991,1572,0.5614285714285714,1376,1424,0.5421511627906976,0.5800561797752809
1,2900,2,0.8907652908829353,0.8705818704933097,125.77480930649988,1635,0.5637931034482758,1428,1472,0.5455182072829131,0.5815217391304348
1,3000,2,0.8754912130557234,0.8710307861234623,113.370723611471,1680,0.56,1480,1520,0.5412162162162162,0.5782894736842106
1,3100,2,0.9534602797709189,0.8717224586429301,118.14918508181307,1728,0.5574193548387096,1525,1575,0.540327868852459,0.573968253968254
1,3200,2,0.9134595326555048,0.8730706019023872,116.73074062359021,1784,0.5575,1583,1617,0.5445356917245736,0.5701917130488559
1,3300,2,0.9226345570481574,0.8741717906915845,118.95415612914785,1846,0.5593939393939394,1631,1669,0.545677498467198,0.572798082684242
1,3400,2,0.8837064169730714,0.8745529029935588,114.62662594106817,1895,0.5573529411764706,1679,1721,0.5461584276354973,0.568274259151656
1,3500,2,0.8683109079808446,0.8740787952510418,122.07406337681405,1953,0.558,1726,1774,0.5463499420625724,0.5693348365276212
1,3600,2,0.9099701737876861,0.8743256813827417,124.11685677348513,2006,0.5572222222222222,1776,1824,0.5433558558558559,0.5707236842105263
1,3700,2,0.9557991590018219,0.8738309510195004,117.05128960132609,2069,0.5591891891891891,1820,1880,0.5428571428571428,0.575
1,3800,2,0.8282278283418539,0.8744372554359552,117.11760848360777,2128,0.56,1876,1924,0.5437100213219617,0.5758835758835759
1,3900,2,0.822737143862696,0.8736050422335891,112.8105867210227,2172,0.556923076923077,1928,1972,0.5430497925311203,0.5704868154158215
1,4000,2,0.892860320241645,0.8737000299498907,120.55963281115447,2225,0.55625,1978,2022,0.5419615773508595,0.5702274975272008
1,4100,2,0.9094480405578451,0.8741857936408766,125.95775511146579,2288,0.5580487804878049,2023,2077,0.5427582797825012,0.5729417428984112
1,4200,2,0.9037931462222407,0.8748816962324711,119.75503513095293,2349,0.5592857142857143,2072,2128,0.5434362934362934,0.5747180451127819
1,4300,2,0.8759005426566091,0.8733306972838907,121.75312817823362,2397,0.5574418604651162,2124,2176,0.5409604519774012,0.5735294117647058
1,4400,2,0.8134926338567463,0.8735879852551757,116.00369816128773,2459,0.5588636363636363,2177,2223,0.5434083601286174,0.5739991003148898
1,4500,2,0.893752742680537,0.8733655104230461,122.25254052010636,2504,0.5564444444444444,2230,2270,0.5426008968609866,0.5700440528634361
1,4600,2,0.8476917369542964,0.8747477557432176,128.20312028535167,2560,0.5565217391304348,2284,2316,0.5411558669001751,0.5716753022452504
1,4700,2,0.8696363175228953,0.8753374667518495,116.87882287772153,2626,0.5587234042553192,2334,2366,0.5428449014567267,0.5743871513102282
