beta,bwVar,covers_true,dataset_file,est,est_med,estdiff,ll,method,miVar,miVarpaired,n_mcmc,pstar,result_file,sim,ul,wiVar,wiVarpaired
1.0,0.030466478052912502,1,datasets_sb01.npz,1.1202084548785902,1.1168551136873446,1.1202084548785947,0.4956185662044793,unconstrained_1to1,0.10154949214752662,0.10061841926021192,1000,0.5,results\unconstrained_1to1_beta1_1.csv,56,1.7447983435527012,0.07105254761656121,0.07012147472924651
1.0,0.023644968283505655,1,datasets_sb01.npz,0.7070361504266657,0.7153692714213575,0.7070361504266636,0.13820117995308845,unconstrained_1to1,0.08422876500251861,0.08415322510943807,1000,0.5,results\unconstrained_1to1_beta1_1.csv,57,1.275871120900243,0.06056015175072944,0.060484611857648904
1.0,0.039520306980866816,1,datasets_sb01.npz,1.1662571995425783,1.1696506933756248,1.1662571995425806,0.49853408091244955,unconstrained_1to1,0.11605949686410481,0.11525540362698806,1000,0.5,results\unconstrained_1to1_beta1_1.csv,58,1.8339803181727072,0.07649966957625713,0.07569557633914038
1.0,0.0329176770276752,1,datasets_sb01.npz,1.1756769380220715,1.1757976047219916,1.1756769380220642,0.5117102934301465,unconstrained_1to1,0.11475731599611091,0.1136986633483775,1000,0.5,results\unconstrained_1to1_beta1_1.csv,59,1.8396435826139965,0.08180672129140805,0.08074806864367462
1.0,0.033258232454944525,1,datasets_sb01.npz,0.8371721806744855,0.8379236908150743,0.837172180674482,0.27751642957305933,unconstrained_1to1,0.08153231979927672,0.08070573635865724,1000,0.5,results\unconstrained_1to1_beta1_1.csv,60,1.3968279317759116,0.04824082911187726,0.04741424567125777
1.0,0.03802216368513008,1,datasets_sb01.npz,0.7736171743291975,0.7776111431275219,0.7736171743291906,0.14259220087828073,unconstrained_1to1,0.10365277934161034,0.10301141460853747,1000,0.5,results\unconstrained_1to1_beta1_1.csv,61,1.4046421477801143,0.06559259349279513,0.06495122875972226
1.0,0.03766259890814146,1,datasets_sb01.npz,1.221834323308633,1.2224442433479592,1.2218343233086337,0.6194012614307484,unconstrained_1to1,0.09447250990305167,0.09478598038239695,1000,0.5,results\unconstrained_1to1_beta1_1.csv,62,1.8242673851865177,0.05677224839600207,0.05708571887534735
1.0,0.028437745869670825,1,datasets_sb01.npz,0.8068870635040469,0.8002121053026744,0.8068870635040514,0.13938717234068998,unconstrained_1to1,0.11598190980401221,0.115320082768051,1000,0.5,results\unconstrained_1to1_beta1_1.csv,63,1.4743869546674038,0.08751572618847173,0.0868538991525105
1.0,0.029966663738015285,1,datasets_sb01.npz,0.71748887579855,0.7122934208998497,0.7174888757985493,0.1210372445435467,unconstrained_1to1,0.09260582789117933,0.09111046957550355,1000,0.5,results\unconstrained_1to1_beta1_1.csv,64,1.3139405070535535,0.06260919748942603,0.061113839173750246
1.0,0.041428505525348464,1,datasets_sb01.npz,0.913434418725466,0.9196273956460284,0.9134344187254622,0.2334056467627832,unconstrained_1to1,0.1203766999940323,0.12093632458647213,1000,0.5,results\unconstrained_1to1_beta1_1.csv,65,1.593463190688149,0.0789067659631585,0.07946639055559832
1.0,0.04330406056417267,1,datasets_sb01.npz,1.164031453904791,1.1624163073561395,1.1640314539047896,0.5001932380749641,unconstrained_1to1,0.1147129260714618,0.11383039675197518,1000,0.5,results\unconstrained_1to1_beta1_1.csv,66,1.8278696697346177,0.07136556144672496,0.07048303212723835
1.0,0.044021265041903505,1,datasets_sb01.npz,1.206729126754969,1.2001692674738444,1.2067291267549654,0.4606371315397453,unconstrained_1to1,0.14490141225641226,0.14332368672709364,1000,0.5,results\unconstrained_1to1_beta1_1.csv,67,1.9528211219701925,0.10083612594946686,0.09925840042014823
1.0,0.0346170833068694,1,datasets_sb01.npz,1.0769094835210093,1.0752050505720174,1.0769094835210107,0.4690475535906128,unconstrained_1to1,0.09618287324518593,0.09685101187102202,1000,0.5,results\unconstrained_1to1_beta1_1.csv,68,1.684771413451406,0.06153117285500967,0.06219931148084575
