sim,tau_hat,running_mean_tau,running_bias,running_abs_bias,accepted_iteration_rate,accepted_row_update_rate,n_mcmc,k,beta,dataset_file
123,1.0240485847669742,1.0522560447669853,0.05225604476698531,0.05225604476698531,1.0,0.8456,500,2,1.0,datasets_sb01_10000.npz
124,0.8807911842677104,1.0508732636339266,0.050873263633926635,0.050873263633926635,1.0,0.8413333333333334,500,2,1.0,datasets_sb01_10000.npz
125,0.698156033330537,1.0480515257914997,0.04805152579149974,0.04805152579149974,1.0,0.8401333333333333,500,2,1.0,datasets_sb01_10000.npz
126,0.7108167300066699,1.0453750591582869,0.04537505915828688,0.04537505915828688,1.0,0.8501333333333333,500,2,1.0,datasets_sb01_10000.npz
127,1.3034023817215805,1.0474067703595726,0.047406770359572636,0.047406770359572636,1.0,0.8436666666666667,500,2,1.0,datasets_sb01_10000.npz
128,1.0071330807183316,1.0470921321592503,0.047092132159250344,0.047092132159250344,1.0,0.8387333333333333,500,2,1.0,datasets_sb01_10000.npz
129,1.362339019048102,1.0495359064762182,0.049535906476218194,0.049535906476218194,1.0,0.8657333333333334,500,2,1.0,datasets_sb01_10000.npz
130,1.2717583416094274,1.0512453098233967,0.0512453098233967,0.0512453098233967,1.0,0.8449333333333333,500,2,1.0,datasets_sb01_10000.npz
131,1.0534067136545846,1.0512618090892838,0.051261809089283794,0.051261809089283794,1.0,0.8444666666666667,500,2,1.0,datasets_sb01_10000.npz
132,0.5998096110965399,1.0478417166802478,0.04784171668024784,0.04784171668024784,1.0,0.8527333333333333,500,2,1.0,datasets_sb01_10000.npz
133,0.6077688951400307,1.0445328984731785,0.04453289847317854,0.04453289847317854,1.0,0.8506666666666667,500,2,1.0,datasets_sb01_10000.npz
134,1.0648942248120667,1.0446848486697373,0.04468484866973732,0.04468484866973732,1.0,0.8462666666666666,500,2,1.0,datasets_sb01_10000.npz
135,0.7075330184927489,1.0421874277054632,0.04218742770546324,0.04218742770546324,1.0,0.8465333333333334,500,2,1.0,datasets_sb01_10000.npz
136,0.7357478879799351,1.0399341957957167,0.039934195795716665,0.039934195795716665,1.0,0.8430666666666666,500,2,1.0,datasets_sb01_10000.npz
137,1.1734703411724223,1.0409089121853277,0.04090891218532766,0.04090891218532766,1.0,0.8442666666666667,500,2,1.0,datasets_sb01_10000.npz
138,1.0793302742708994,1.0411873278526143,0.04118732785261425,0.04118732785261425,1.0,0.8465333333333334,500,2,1.0,datasets_sb01_10000.npz
139,1.373803246022261,1.043580248127216,0.04358024812721606,0.04358024812721606,1.0,0.8382,500,2,1.0,datasets_sb01_10000.npz
140,1.3625510585902985,1.045858611059095,0.045858611059095056,0.045858611059095056,1.0,0.8558,500,2,1.0,datasets_sb01_10000.npz
141,1.1124130172143571,1.046330628124026,0.04633062812402611,0.04633062812402611,1.0,0.8501333333333333,500,2,1.0,datasets_sb01_10000.npz
142,0.9691296425657883,1.045786959211644,0.045786959211643996,0.045786959211643996,1.0,0.8502,500,2,1.0,datasets_sb01_10000.npz
143,1.4269484395540608,1.0484524241091433,0.0484524241091433,0.0484524241091433,1.0,0.8562,500,2,1.0,datasets_sb01_10000.npz
144,0.9445032720647453,1.0477305549977238,0.04773055499772383,0.04773055499772383,1.0,0.8469333333333333,500,2,1.0,datasets_sb01_10000.npz
145,0.691502028110375,1.0452738065364318,0.04527380653643176,0.04527380653643176,1.0,0.8285333333333333,500,2,1.0,datasets_sb01_10000.npz
146,0.950183022740831,1.0446224997981057,0.04462249979810573,0.04462249979810573,1.0,0.8346666666666667,500,2,1.0,datasets_sb01_10000.npz
147,0.9630023087220481,1.0440672604030306,0.04406726040303055,0.04406726040303055,1.0,0.8462666666666666,500,2,1.0,datasets_sb01_10000.npz
148,1.0755536352572652,1.0442800061790727,0.044280006179072684,0.044280006179072684,1.0,0.8514,500,2,1.0,datasets_sb01_10000.npz
149,0.6774692605832233,1.0418181890945368,0.04181818909453683,0.04181818909453683,1.0,0.8508,500,2,1.0,datasets_sb01_10000.npz
150,0.4820613548773858,1.0380864768664224,0.038086476866422414,0.038086476866422414,1.0,0.846,500,2,1.0,datasets_sb01_10000.npz
151,0.667811858947451,1.0356343270788797,0.0356343270788797,0.0356343270788797,1.0,0.8458666666666667,500,2,1.0,datasets_sb01_10000.npz
152,1.1465700546240043,1.0363641673916764,0.03636416739167636,0.03636416739167636,1.0,0.8491333333333333,500,2,1.0,datasets_sb01_10000.npz
153,0.8808814005333092,1.035347940157308,0.03534794015730802,0.03534794015730802,1.0,0.8459333333333333,500,2,1.0,datasets_sb01_10000.npz
154,1.2867986239368359,1.036980736805227,0.036980736805227066,0.036980736805227066,1.0,0.8354,500,2,1.0,datasets_sb01_10000.npz
155,1.114825161732902,1.0374829589015346,0.037482958901534635,0.037482958901534635,1.0,0.8546,500,2,1.0,datasets_sb01_10000.npz
156,0.7580674854922366,1.0356918340719878,0.03569183407198784,0.03569183407198784,1.0,0.8336666666666667,500,2,1.0,datasets_sb01_10000.npz
157,0.7919141634674385,1.0341391100553983,0.03413911005539827,0.03413911005539827,1.0,0.8486666666666667,500,2,1.0,datasets_sb01_10000.npz
158,1.17193949642193,1.0350112643994904,0.03501126439949043,0.03501126439949043,1.0,0.8492,500,2,1.0,datasets_sb01_10000.npz
159,0.986174242669195,1.0347041133194257,0.03470411331942569,0.03470411331942569,1.0,0.8382666666666667,500,2,1.0,datasets_sb01_10000.npz
160,1.151938772109206,1.0354368299368617,0.0354368299368617,0.0354368299368617,1.0,0.8470666666666666,500,2,1.0,datasets_sb01_10000.npz
161,1.4156726230217278,1.0377985429373888,0.037798542937388824,0.037798542937388824,1.0,0.8557333333333333,500,2,1.0,datasets_sb01_10000.npz
