beta,bwVar,change_count,changed_iteration_count,covers_true,dataset_file,est,est_med,estdiff,ll,method,miVar,miVarclus,miVarpaired,n_mcmc,n_sampling_draws,pstar,result_file,share_estimation_in_method,share_mcmc_in_method,share_method_in_sim,share_sampling_in_mcmc,share_sampling_in_method,sim,time_allocation,time_mcmc_estimation,time_mcmc_sampling,time_mcmc_total,time_method_call,time_method_total,time_per_sampling_draw,time_setup,time_sim_post,time_sim_prep,time_sim_total,time_summary,ul,wiVar,wiVarclus,wiVarpaired
1.0,0.02097706821735989,28773,1000,1,datasets_sb01.npz,1.1072277340984509,1.1063124174211447,1.1072277340984469,0.50788940372705,constrained_1to1_gibbs,0.0935043820940177,0.28525591206551804,0.09399328231222276,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6563566685211705,0.9993560405756616,0.9998274495775509,0.34322039206058363,0.34299937205449116,11,2.1499989088624716e-05,0.2764210007735528,0.14445229893317446,0.42087329970672727,0.4218327000271529,0.4211444996763021,4.815076631105815e-06,0.0002106999745592475,9.200011845678091e-06,6.310001481324434e-05,0.4219054999994114,3.9000005926936865e-05,1.7065660644698517,0.07250633680844044,0.2642578667799408,0.07299523702664551
1.0,0.01730262543278045,28692,1000,1,datasets_sb01.npz,1.1226119427414123,1.1241817598612105,1.1226119427414136,0.5631445150707789,constrained_1to1_gibbs,0.08147745799260606,0.25825516062091103,0.07804569183773417,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6546834343093307,0.9993699864418862,0.999838804152041,0.34490384623192727,0.34468655213255556,12,1.4199991710484028e-05,0.27080449974164367,0.1425768003682606,0.41338130010990426,0.41433619998861104,0.41364190011518076,4.752560012275353e-06,0.0002060999977402389,8.700008038431406e-06,5.740002961829305e-05,0.4144030000315979,4.0300015825778246e-05,1.6820793704120458,0.06415752993439283,0.24093523256269778,0.06072576377952094
1.0,0.02010108013283504,28563,1000,1,datasets_sb01.npz,1.0911192840445156,1.0890385995817087,1.0911192840445074,0.4704644022042549,constrained_1to1_gibbs,0.10027396979179198,0.29034166570915465,0.09672481968970796,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6517335519543193,0.9994103037613867,0.9998482626718428,0.34788189645288736,0.3476767518070675,13,1.2800039257854223e-05,0.267127399914898,0.14250300056301057,0.40963040047790855,0.4105157000012696,0.4098721005138941,4.750100018767019e-06,0.00019599997904151678,6.699992809444666e-06,5.5100012104958296e-05,0.41057800000999123,3.290001768618822e-05,1.7117741658847763,0.08015278857882412,0.2702204844961868,0.0766036384767401
1.0,0.02055297260786436,28704,1000,1,datasets_sb01.npz,0.7483486537854502,0.7480374913950323,0.7483486537854463,0.1431738556702764,constrained_1to1_gibbs,0.09533437533156533,0.28082605819879863,0.09138857253888051,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6525785494085887,0.9994334433850538,0.9998617606768702,0.3470515183098906,0.3468548939764651,14,1.0899966582655907e-05,0.26860739942640066,0.1427686998504214,0.41137609927682206,0.4122715999837965,0.4116092992480844,4.758956661680714e-06,0.00018229999113827944,9.400013368576765e-06,4.7200010158121586e-05,0.412328600010369,4.0000013541430235e-05,1.353523451900624,0.07476084975109311,0.2602525326183264,0.07081504695840829
1.0,0.015750191367167855,28638,1000,1,datasets_sb01.npz,1.3368889066045717,1.3348852522586703,1.336888906604568,0.7678890436564949,constrained_1to1_gibbs,0.08427760413237459,0.2710375539093234,0.08383434768909512,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6515926537133828,0.999384017516193,0.9998439676162828,0.3480057292362842,0.34779136380281017,15,1.209997572004795e-05,0.2672028999659233,0.14262109994888306,0.40982399991480634,0.4107481999672018,0.41007659991737455,4.754036664962769e-06,0.00020150002092123032,7.90000194683671e-06,5.570001667365432e-05,0.41081229998962954,3.9000005926936865e-05,1.9058887695526485,0.06851166257383957,0.2552716123507884,0.06806840613056009
1.0,0.020101387094616077,28694,1000,1,datasets_sb01.npz,0.8703152151441336,0.8710259621467025,0.870315215144129,0.2739715144242221,constrained_1to1_gibbs,0.09257231606318185,0.2820591479838382,0.09199123000204568,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6600325257561499,0.9994266199876088,0.9998569027396605,0.3395888076662064,0.3393940942314589,16,1.1499971151351929e-05,0.2840977996820584,0.14608539978507906,0.43018319946713746,0.4311135999741964,0.4304299994255416,4.869513326169302e-06,0.00020289997337386012,7.299997378140688e-06,5.3800002206116915e-05,0.43117529997834936,3.2400013878941536e-05,1.466658915864045,0.07245082758147116,0.2619376595021275,0.07186974152033498
1.0,0.01426117141840485,28730,1000,1,datasets_sb01.npz,1.0489875638252684,1.048531992489718,1.0489875638252668,0.4757592116923641,constrained_1to1_gibbs,0.08553486664124452,0.2696779613822689,0.08241922848237761,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6594033785533978,0.9994482676899332,0.9998690671968143,0.34023260645845677,0.3400448891365354,17,1.1499971151351929e-05,0.2775140004232526,0.14311000000452623,0.4206240004277788,0.42153519997373223,0.4208562003914267,4.770333333484208e-06,0.00018350000027567148,7.499998901039362e-06,4.740001168102026e-05,0.42159039998659864,3.71999922208488e-05,1.6222159159581726,0.07125943405142127,0.2554025287924456,0.06814379589255436
1.0,0.019854385013931376,28595,1000,1,datasets_sb01.npz,1.3314159551532385,1.334224640088034,1.3314159551532398,0.7291561715324213,constrained_1to1_gibbs,0.09441817132626862,0.279177998918341,0.09017631499842536,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6533477017704298,0.9993135612077846,0.9998541035999455,0.34620350695452945,0.34596585943735486,18,2.2899999748915434e-05,0.26507440058048815,0.14036429999396205,0.4054387005744502,0.4063937999890186,0.4057172005996108,4.678809999798735e-06,0.00021160003961995244,9.100011084228754e-06,4.9600028432905674e-05,0.4064531000331044,4.39999857917428e-05,1.9336757387740557,0.07454393192732331,0.2593037595193957,0.07030207559948005
1.0,0.01581152913349212,28731,1000,1,datasets_sb01.npz,1.3492513386070815,1.3444992160820832,1.3492513386070824,0.8131358859892104,constrained_1to1_gibbs,0.07481772660757621,0.2487185014951969,0.07264333490052538,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6549996892548662,0.9993076298070454,0.9998270965584237,0.3445464942749022,0.3443079405521792,19,1.3199984095990658e-05,0.2692388006253168,0.14152839838061482,0.4107671990059316,0.41171910002594814,0.411051799019333,4.717613279353828e-06,0.00023310002870857716,8.700008038431406e-06,6.180000491440296e-05,0.41179029998602346,3.8300000596791506e-05,1.8853667912249525,0.0589903859449506,0.23289116083257128,0.05681599423789977
1.0,0.016876438623865002,28669,1000,1,datasets_sb01.npz,1.0885593558943576,1.0885710320819313,1.0885593558943576,0.5330184470697719,constrained_1to1_gibbs,0.08033780231613044,0.2662163351772321,0.08209377054122674,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6655962080936958,0.9993469164434965,0.9998391080516358,0.3339688178931516,0.3337507083498007,20,1.2999982573091984e-05,0.277109399670735,0.13895130006130785,0.41606069973204285,0.41698290000203997,0.4163325997069478,4.631710002043595e-06,0.00022109999554231763,7.299997378140688e-06,5.9399986639618874e-05,0.4170499999891035,3.779999678954482e-05,1.6441002647189433,0.06344448725364157,0.24932302011474325,0.06520045547873787
