acceptance_count,beta,bwVar,covers_true,dataset_file,est,est_med,estdiff,ll,method,miVar,miVarpaired,n_mcmc,n_sampling_draws,pstar,result_file,share_estimation_in_method,share_mcmc_in_method,share_method_in_sim,share_sampling_in_mcmc,share_sampling_in_method,sim,time_allocation,time_mcmc_estimation,time_mcmc_sampling,time_mcmc_total,time_method_call,time_method_total,time_per_sampling_draw,time_setup,time_sim_post,time_sim_prep,time_sim_total,time_summary,ul,wiVar,wiVarpaired
1000,1.0,0.014837043432489289,1,datasets_sb01.npz,1.494637218902416,1.4946265939360037,1.494637218902417,0.9649782636669432,unconstrained_1tok,0.07302650168188585,0.08124596262057045,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_2.csv,0.4376078506248207,0.9995117655044764,0.9998389087678219,0.5621783897621755,0.5619039148796557,21,5.400041118264198e-06,0.22291140037123114,0.2862261002883315,0.5091375006595626,0.5108085999963805,0.5093862005742267,9.54087000961105e-06,0.00019959989003837109,1.1199968867003918e-05,7.060007192194462e-05,0.5108909000409767,4.369998350739479e-05,2.0242961741378886,0.058174621205964075,0.06639408214464868
1000,1.0,0.014903499408575955,1,datasets_sb01.npz,1.273676953240372,1.2700008313372648,1.2736769532403727,0.7697375160200426,unconstrained_1tok,0.06610655882599498,0.07152373703571492,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_2.csv,0.4048995840150908,0.9994698273901642,0.9998279728116941,0.5948856354449711,0.5945702433750735,22,5.699926987290382e-06,0.19291379919741303,0.2832821002230048,0.47619589942041785,0.47774949995800853,0.4764484993647784,9.44273667410016e-06,0.0002169000217691064,8.00006091594696e-06,7.35999783501029e-05,0.4778317000018433,2.9999995604157448e-05,1.7776163904607014,0.05118815591801045,0.05660533412773039
1000,1.0,0.01706884735556875,1,datasets_sb01.npz,0.8366439252113285,0.8368155460114695,0.8366439252113278,0.300513214434195,unconstrained_1tok,0.07482198538067325,0.08148855100529623,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_2.csv,0.368896199457967,0.9992452992830705,0.9997865870194149,0.6308251840437585,0.6303490998251035,23,4.100031219422817e-06,0.10699789982754737,0.18283199972938746,0.28982989955693483,0.2909225000767037,0.2900487995939329,6.094399990979582e-06,0.00015360000543296337,9.699957445263863e-06,5.209993105381727e-05,0.29098459996748716,6.120000034570694e-05,1.372774635988462,0.057736069177748935,0.0644026348023719
1000,1.0,0.013494464810813393,1,datasets_sb01.npz,0.7957794377475161,0.7949237865306642,0.7957794377475141,0.3239628716186954,unconstrained_1tok,0.057947436503954564,0.0590687396440838,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_2.csv,0.3085256572578596,0.9991819175807213,0.9997318994800816,0.6912217366734575,0.6906562603228616,24,4.600035026669502e-06,0.08097039931453764,0.18125790148042142,0.26222830079495907,0.2632633000612259,0.2624430007999763,6.041930049347381e-06,0.00017529993783682585,9.499955922365189e-06,6.059999577701092e-05,0.2633339000167325,3.4800032153725624e-05,1.2675960038763368,0.04443947722833036,0.0455607803684596
1000,1.0,0.015587682431289053,1,datasets_sb01.npz,1.2911488357888072,1.2881225183145228,1.2911488357888097,0.7554913587064641,unconstrained_1tok,0.07468995542331866,0.08042821661124681,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_2.csv,0.32387962820008787,0.9992231569844157,0.9997128118589215,0.6758685725643774,0.6753435287843278,25,4.400033503770828e-06,0.08417570008896291,0.1755205001682043,0.2596962002571672,0.2607296999776736,0.25989810028113425,5.850683338940144e-06,0.0001650999765843153,1.4599994756281376e-05,5.9699988923966885e-05,0.26080459996592253,3.2400013878941536e-05,1.8268063128711503,0.059086685309598326,0.06482494649752647
1000,1.0,0.016992523704099108,1,datasets_sb01.npz,0.9558808224276419,0.9554301066276096,0.9558808224276382,0.43237550038041506,unconstrained_1tok,0.0713394997427558,0.07282415391746168,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_2.csv,0.3092403901796479,0.9991943629936343,0.9997302196376394,0.6905102734435482,0.6899539728139864,26,4.300032742321491e-06,0.07972480112221092,0.17787599877920002,0.25760079990141094,0.25865900004282594,0.257808499969542,5.929199959306667e-06,0.0001700000138953328,9.499955922365189e-06,5.979998968541622e-05,0.25872879999224097,3.3400021493434906e-05,1.4793861444748688,0.05432998351495259,0.05581463768965847
1000,1.0,0.017216359545851434,1,datasets_sb01.npz,1.0016369505030487,1.001648210257454,1.001636950503044,0.4694104088832237,unconstrained_1tok,0.07373622751056833,0.0793828574193831,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_2.csv,0.31297790301682515,0.9991544037039245,0.9997328131000561,0.6867572200486757,0.6861765006870993,27,4.899920895695686e-06,0.08090970164630562,0.17738739831838757,0.2582970999646932,0.2592995000304654,0.2585156998829916,5.912913277279586e-06,0.0001740000443533063,8.599949069321156e-06,6.019999273121357e-05,0.2593687999760732,3.969995304942131e-05,1.5338634921228738,0.05650265160517104,0.06214928151398581
1000,1.0,0.016818246792644757,1,datasets_sb01.npz,0.9880707017906227,0.9892948985388144,0.9880707017906214,0.49710650187710653,unconstrained_1tok,0.06274621136940833,0.054575260455277996,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_2.csv,0.3096100155551127,0.9991237976902491,0.9997645849382508,0.6901184655286343,0.6895137821351365,28,4.899920895695686e-06,0.08088279922958463,0.18012920126784593,0.26101200049743056,0.2620285999728367,0.26124090037774295,6.004306708928198e-06,0.00016639998648315668,9.299954399466515e-06,5.1900045946240425e-05,0.2620902999769896,5.759997293353081e-05,1.4790349017041389,0.04591114632997093,0.037740195415840595
1000,1.0,0.016525522708524098,1,datasets_sb01.npz,0.7720891871208723,0.7684667284308402,0.7720891871208744,0.2362809743157256,unconstrained_1tok,0.07473199732128419,0.07927965452204143,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_2.csv,0.31918906040773803,0.9991010663249136,0.9997068581734048,0.6805237516342157,0.6799120059171755,29,4.499917849898338e-06,0.08322960080113262,0.17728929920122027,0.2605189000023529,0.26157139998394996,0.260753299924545,5.909643306707342e-06,0.00017010001465678215,9.7999582067132e-06,6.630003917962313e-05,0.261648099985905,5.979998968541622e-05,1.307897399926019,0.05818994909005157,0.06273760629080881
1000,1.0,0.014813455853537662,1,datasets_sb01.npz,0.9822417855239662,0.983701187909334,0.9822417855239693,0.47693392955768754,unconstrained_1tok,0.06646606343743167,0.06893050767242272,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_2.csv,0.3297228930719358,0.9989752766384615,0.9996837432414438,0.6699388855933963,0.6692523835665256,30,6.600050255656242e-06,0.08851829776540399,0.17966930114198476,0.26818759890738875,0.26931600004900247,0.2684626989066601,5.988976704732826e-06,0.00022529996931552887,9.399955160915852e-06,7.499998901039362e-05,0.2694011999992654,4.3199979700148106e-05,1.487549641490245,0.05163779412804047,0.05410223836303152
1000,1.0,0.027624776384119,1,datasets_sb01.npz,0.45298792448756525,0.44844339411697465,0.45298792448756425,-0.1741292324769072,unconstrained_1tok,0.10237295099937602,0.1001680225599933,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_2.csv,0.3343480410215317,0.9991925928921471,0.9997402116227084,0.6653817858539497,0.6648445518706154,31,4.500034265220165e-06,0.08940439845900983,0.17777890083380044,0.26718329929281026,0.26822540001012385,0.2673991993069649,5.9259633611266815e-06,0.00017549993935972452,7.999944500625134e-06,6.120000034570694e-05,0.2682950999587774,3.590004052966833e-05,1.0801050814520377,0.0747205498388729,0.07251562139949018
1000,1.0,0.015485305905688076,1,datasets_sb01.npz,1.085136920090138,1.0845476194256287,1.0851369200901402,0.5847295830259688,unconstrained_1tok,0.06518312759986802,0.06672404386665154,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_2.csv,0.3528499220187994,0.9992117067053148,0.9997963503825835,0.6468717093174919,0.6463617846865154,32,4.300032742321491e-06,0.09878809854853898,0.18096320191398263,0.2797513004625216,0.280817799968645,0.2799720005132258,6.032106730466087e-06,0.0001821999903768301,8.800067007541656e-06,4.800001624971628e-05,0.28087500005494803,3.42000275850296e-05,1.5855442571543072,0.049682336388274254,0.051223252655057776
1000,1.0,0.01526675514968217,1,datasets_sb01.npz,0.769595652666354,0.7707155827335896,0.7695956526663545,0.28630822272464884,unconstrained_1tok,0.06079933880145214,0.06076154423362695,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_2.csv,0.32191908554377147,0.9991855431564575,0.9997444998641969,0.677818511538088,0.677266457612686,33,4.599918611347675e-06,0.0850196034880355,0.17886769771575928,0.2638873012037948,0.2649029999738559,0.2641024012118578,5.9622565905253094e-06,0.00017090002074837685,8.400063961744308e-06,5.859998054802418e-05,0.2649707000236958,3.96000687032938e-05,1.2528830826080593,0.045517316896620294,0.045479522328795104
