sim,mcmc_iter,tau_current,running_tau,total_distance,accepted_iterations,accepted_iteration_rate,type1_count,type2_count,type1_acceptance_rate,type2_acceptance_rate
1,2700,0.8881486168026289,0.862600046942802,53.907969445902836,1622,0.6007407407407407,1361,1339,0.5848640705363704,0.6168782673637042
1,2800,0.9049095577055699,0.8653302309727277,57.85598866614566,1685,0.6017857142857143,1412,1388,0.5864022662889519,0.6174351585014409
1,2900,0.8868908995770916,0.8672676106700925,59.97188687876671,1736,0.5986206896551725,1463,1437,0.5803144224196856,0.6172581767571329
1,3000,0.9509563519499428,0.8679067392034312,57.71717198452056,1798,0.5993333333333334,1513,1487,0.5803040317250495,0.6186953597848016
1,3100,0.7984985877342266,0.8677108694088543,57.44693434848315,1861,0.6003225806451613,1563,1537,0.5802943058221369,0.6206896551724138
1,3200,0.9345876304219629,0.8670407038378901,57.25966099215565,1912,0.5975,1616,1584,0.5785891089108911,0.6167929292929293
1,3300,0.8721133039645186,0.866933525966206,54.83175368944952,1955,0.5924242424242424,1671,1629,0.5757031717534411,0.6095764272559853
1,3400,0.7661389705116213,0.8656119969061077,52.05499987899842,2007,0.5902941176470589,1724,1676,0.5736658932714617,0.6073985680190931
1,3500,0.7530218759861477,0.8624874867827749,59.30840181798488,2068,0.5908571428571429,1774,1726,0.5732807215332582,0.6089223638470452
1,3600,1.0421101469182996,0.8648866949320612,59.41971196150424,2132,0.5922222222222222,1823,1777,0.5726823916620954,0.6122678671918964
1,3700,1.025684680018442,0.8687219078736501,60.66595456401654,2193,0.5927027027027028,1878,1822,0.5761448349307774,0.6097694840834248
1,3800,0.8805650235772827,0.8671957046508354,50.635545390572794,2249,0.591842105263158,1927,1873,0.574468085106383,0.6097170315002669
1,3900,0.8477512750744813,0.8684078799616552,62.95552971001037,2307,0.5915384615384616,1969,1931,0.5759268664296597,0.6074572760227861
1,4000,0.9360722014791851,0.8700651408669651,57.07947175507862,2371,0.59275,2006,1994,0.5757726819541376,0.6098294884653962
1,4100,0.9580823678882908,0.8731006081221412,52.04963031205609,2425,0.5914634146341463,2055,2045,0.5732360097323601,0.6097799511002445
1,4200,0.7681660098329598,0.8729234168330477,48.289102366277845,2474,0.589047619047619,2099,2101,0.5697951405431158,0.6082817705854355
1,4300,0.7829776757396716,0.8718229808440453,56.945472361631865,2537,0.59,2149,2151,0.5718939041414611,0.6080892608089261
1,4400,0.9248695114062999,0.8724038715764695,55.56753934572714,2594,0.5895454545454546,2196,2204,0.5710382513661202,0.6079854809437386
1,4500,0.8053553700647496,0.8718184738998244,58.634652038442454,2652,0.5893333333333334,2250,2250,0.5702222222222222,0.6084444444444445
1,4600,0.7781937928383659,0.8703929749139225,55.92150131233646,2703,0.5876086956521739,2298,2302,0.5696257615317668,0.6055603822762815
1,4700,0.8606797589816291,0.8709705688112899,56.42254384873528,2758,0.5868085106382979,2348,2352,0.5711243611584327,0.6024659863945578
1,4800,0.7854015432282117,0.8711409360844546,61.15741812997641,2822,0.5879166666666666,2406,2394,0.5743973399833749,0.6015037593984962
1,4900,0.8264052468322057,0.8697550773566073,53.96993314056864,2877,0.5871428571428572,2452,2448,0.5742251223491027,0.6000816993464052
