acceptance_count,beta,bwVar,covers_true,dataset_file,est,est_med,estdiff,ll,method,miVar,miVarclus,miVarpaired,n_mcmc,n_sampling_draws,pstar,result_file,share_estimation_in_method,share_mcmc_in_method,share_method_in_sim,share_sampling_in_mcmc,share_sampling_in_method,sim,time_allocation,time_mcmc_estimation,time_mcmc_sampling,time_mcmc_total,time_method_call,time_method_total,time_per_sampling_draw,time_setup,time_sim_post,time_sim_prep,time_sim_total,time_summary,ul,wiVar,wiVarclus,wiVarpaired
486,1.0,0.01068838746047524,1,datasets_sb01.npz,1.5360785669746633,1.5347024785301189,1.536078566974662,0.9134818116752961,constrained_1to1,0.10090241558447005,0.2817321401537607,0.08766839857666672,1000,1000,0.5,results\constrained_1to1_beta1_profile_3.csv,0.9257677709752722,0.9993174334782111,0.9998235984788304,0.07359989933022884,0.073549662502939,21,1.1299998732283711e-05,0.3194095999642741,0.025376200181199238,0.34478580014547333,0.34574099999736063,0.34502130013424903,2.537620018119924e-05,0.0001784999913070351,8.300004992634058e-06,5.219999002292752e-05,0.34580199999618344,4.569999873638153e-05,2.1586753222740303,0.09020333973653434,0.27103306430582497,0.07696932272873101
509,1.0,0.012067927531451554,1,datasets_sb01.npz,1.2580172163918821,1.2441393683290023,1.2580172163918817,0.6838948550893968,constrained_1to1,0.0858018757152076,0.27426851575981365,0.08414705264577181,1000,1000,0.5,results\constrained_1to1_beta1_profile_3.csv,0.9200676893489278,0.9991574409604891,0.9997155190672786,0.07915644559032901,0.07908975161156133,22,1.2900010915473104e-05,0.2707048001466319,0.023270000296179205,0.2939748004428111,0.29483920001075603,0.29422270043869503,2.3270000296179204e-05,0.00019329998758621514,8.300004992634058e-06,7.51999905332923e-05,0.29492310000932775,4.169999738223851e-05,1.8321395776943674,0.0737218802562246,0.2621885203008306,0.07206705718678881
461,1.0,0.014583552050682373,1,datasets_sb01.npz,0.8615434698716722,0.8479272811171213,0.86154346987167,0.2525097097994782,constrained_1to1,0.09655407145660008,0.29015960335058494,0.09363014961829093,1000,1000,0.5,results\constrained_1to1_beta1_profile_3.csv,0.9228094872626973,0.9992003818930006,0.9997501016126793,0.0764520270554537,0.07639089463030335,23,1.200000406242907e-05,0.2663577001658268,0.022049299761420116,0.28840699992724694,0.289245399995707,0.2886377999384422,2.2049299761420115e-05,0.0001790999958757311,1.5700003132224083e-05,5.6100019719451666e-05,0.2893177000223659,3.9700011257082224e-05,1.4705772299438662,0.08195593585386703,0.2755614677478519,0.07903201401555787
430,1.0,0.014213004543430158,1,datasets_sb01.npz,0.8491080234033215,0.8465609233171358,0.8491080234033196,0.3182512376217709,constrained_1to1,0.07335717591897105,0.23695707148102388,0.0668267795668951,1000,1000,0.5,results\constrained_1to1_beta1_profile_3.csv,0.9209523932345411,0.9993156915512452,0.9997980559809169,0.07841695970475572,0.07836329831670409,24,1.0899995686486363e-05,0.304423300025519,0.025903199828462675,0.33032649985398166,0.33121309999842197,0.33055269985925406,2.5903199828462675e-05,0.0001812000118661672,6.699992809444666e-06,5.970001802779734e-05,0.33128000001306646,3.409999771974981e-05,1.3799648091848722,0.05912995837099746,0.22272985393305028,0.05259956201892152
501,1.0,0.02174311918784137,1,datasets_sb01.npz,1.3043501653364167,1.3062266918701888,1.3043501653364173,0.6567792903057467,constrained_1to1,0.10915973505518213,0.3000591075432688,0.10264874023810014,1000,1000,0.5,results\constrained_1to1_beta1_profile_3.csv,0.9162679896913982,0.9993997617603622,0.9998012204698032,0.08318170090668622,0.08313177206896391,25,1.0399991879239678e-05,0.33476299946778454,0.030372600245755166,0.3651355997135397,0.36616209999192506,0.36535489969537593,3.0372600245755166e-05,0.00015509998775087297,1.6900012269616127e-05,5.539998528547585e-05,0.3662348999932874,5.3800002206116915e-05,1.9519210403670866,0.08739487274815293,0.2782942452362396,0.08088387793107094
466,1.0,0.02066808810635535,1,datasets_sb01.npz,0.9709905153807518,1.0097338612499864,0.9709905153807475,0.359295972550555,constrained_1to1,0.09739957666811837,0.29956630426283665,0.10183531617745448,1000,1000,0.5,results\constrained_1to1_beta1_profile_3.csv,0.9136601557196572,0.999105520515324,0.9993754464069471,0.08552186234702756,0.08544536479566686,26,1.6499980119988322e-05,0.30959949997486547,0.02895370018086396,0.33855320015572943,0.33955050000804476,0.33885630016447976,2.895370018086396e-05,0.0002460000105202198,8.200004231184721e-06,0.00020300000323913991,0.3397627000231296,4.060001811012626e-05,1.5826850582109486,0.07671082047365667,0.27887754806837495,0.08114655998299278
466,1.0,0.012063002491098328,1,datasets_sb01.npz,0.9754705427926149,0.9878625755041731,0.9754705427926099,0.3786358754396706,constrained_1to1,0.09272480741209385,0.2915307470481981,0.09373832758096473,1000,1000,0.5,results\constrained_1to1_beta1_profile_3.csv,0.9198729844266859,0.9992403623217385,0.9998008550058272,0.07942771417944151,0.07936737789505262,27,1.2899981811642647e-05,0.2991012999555096,0.025806699733948335,0.32490799968945794,0.3258283000031952,0.3251549996784888,2.5806699733948335e-05,0.00018220001948066056,9.499985026195645e-06,5.490001058205962e-05,0.3258932000026107,5.189998773857951e-05,1.5723052101455592,0.08064974191850442,0.27945568155460865,0.0816632620873753
432,1.0,0.018375900121800945,1,datasets_sb01.npz,0.9193070943915891,0.9502991378107389,0.9193070943915859,0.37370874641361207,constrained_1to1,0.07748791058837404,0.25681428902971004,0.07752718381711696,1000,1000,0.5,results\constrained_1to1_beta1_profile_3.csv,0.9146842783687282,0.9990011252014981,0.9997476532572653,0.08440115301748354,0.08431684683276988,28,1.789999078027904e-05,0.27883509956882335,0.025703400548081845,0.3045385001169052,0.3054548999934923,0.304843000107212,2.5703400548081846e-05,0.0002499000111129135,7.700000423938036e-06,6.890000076964498e-05,0.3055319999984931,3.6699988413602114e-05,1.4649054423695662,0.05909363456645129,0.23842001300778728,0.059132907795194214
455,1.0,0.0212229213033767,1,datasets_sb01.npz,0.7842059835033277,0.7671911458550185,0.7842059835033278,0.1482154070452224,constrained_1to1,0.10529050743011066,0.2874774374576058,0.09511969460121789,1000,1000,0.5,results\constrained_1to1_beta1_profile_3.csv,0.9200847174655593,0.9993017855460213,0.999806839806736,0.07927241722797236,0.07921706808046196,29,1.0799994925037026e-05,0.2764676997321658,0.023803200048860162,0.30027089978102595,0.3012460000172723,0.30048069974873215,2.3803200048860163e-05,0.00016269998741336167,6.799993570894003e-06,5.089998012408614e-05,0.30130419999477454,3.6299985367804766e-05,1.420196559961433,0.08404636320543059,0.2662332932329257,0.07387555037653781
492,1.0,0.011098632220052779,1,datasets_sb01.npz,0.9801888039472528,0.9712997434461024,0.9801888039472555,0.413782112839959,constrained_1to1,0.08351117756432563,0.25979922233429237,0.0758890304751432,1000,1000,0.5,results\constrained_1to1_beta1_profile_3.csv,0.9208972128957783,0.9991725897404132,0.9997183536782873,0.07834019632681369,0.07827537684463483,30,1.3600016245618463e-05,0.2785808002226986,0.023679099918808788,0.3022599001415074,0.3031316999986302,0.30251020018476993,2.3679099918808787e-05,0.00019600000814534724,8.499977411702275e-06,7.609999738633633e-05,0.30321709997951984,4.0700018871575594e-05,1.5465954950545466,0.0724014467120528,0.24868949148201955,0.06477929962287036
