beta,bwVar,covers_true,dataset_file,est,est_med,estdiff,k,ll,method,miVar,miVarpaired,n_mcmc,n_sampling_draws,pstar,result_file,share_estimation_in_method,share_mcmc_in_method,share_method_in_sim,share_sampling_in_mcmc,share_sampling_in_method,sim,time_allocation,time_mcmc_estimation,time_mcmc_sampling,time_mcmc_total,time_method_call,time_method_total,time_per_sampling_draw,time_setup,time_sim_post,time_sim_prep,time_sim_total,time_summary,ul,wiVar,wiVarpaired
1.0,0.016857400729996027,1,datasets_sb01.npz,0.8258754412753638,0.8247096901106648,0.825875441275363,2,0.29074768090465974,unconstrained_1tok_mc,0.07454230526847294,0.08076738700947117,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.08817841690390939,0.9996645010956731,0.9999408137559392,0.9117919894051832,0.9114860841917637,23,1.2800010154023767e-05,0.10436890015262179,1.0788445001817308,1.1832134003343526,1.1843268999946304,1.1836105003603734,3.596148333939103e-05,0.00034410000080242753,9.800016414374113e-06,5.959998816251755e-05,1.1843970000045374,4.020001506432891e-05,1.361003201646068,0.05766804713774692,0.06389312887874515
1.0,0.012750550319491915,1,datasets_sb01.npz,0.801306731145797,0.8018490209493669,0.8013067311457949,2,0.3306428631683893,unconstrained_1tok_mc,0.057664638853460695,0.0584107204551277,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.09485300771564414,0.9996551103620535,0.9999351352379806,0.9051142671783167,0.9048021026464094,24,1.4399993233382702e-05,0.11237490031635389,1.071943299844861,1.184318200161215,1.1854667000006884,1.184726800158387,3.573144332816204e-05,0.00035700001171790063,9.799987310543656e-06,6.650001159869134e-05,1.1855436000041664,3.71999922208488e-05,1.2719705991232046,0.044901337983649287,0.0456474195853163
1.0,0.017354856496841653,1,datasets_sb01.npz,1.3062413632508947,1.3115841198347544,1.3062413632508973,2,0.7648291298178671,unconstrained_1tok_mc,0.07630341693849937,0.08151674571202142,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.09317781796941434,0.9996588251856183,0.999936914868124,0.9067903812562121,0.9064810072162041,25,1.2900010915473104e-05,0.1127666000102181,1.0970506005105563,1.2098172005207743,1.2109854999871459,1.2102301005506888,3.6568353350351874e-05,0.00035960000241175294,1.1199997970834374e-05,6.459999713115394e-05,1.2110618999868166,4.040001658722758e-05,1.8476535966839223,0.05893120558516088,0.06414453435868292
1.0,0.01648189505641986,1,datasets_sb01.npz,0.9490059244848842,0.9494799544806115,0.9490059244848801,2,0.4296893883186138,unconstrained_1tok_mc,0.07020243251138411,0.07167330938128064,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.08552106526162752,0.9996574824177785,0.9999323140069123,0.9144496322332468,0.914136417156151,26,1.3199984095990658e-05,0.1040432004374452,1.1121198991895653,1.2161630996270105,1.21730370001751,1.2165797995985486,3.707066330631884e-05,0.00036330000148154795,1.09999964479357e-05,7.080001523718238e-05,1.21738610000466,4.019998596049845e-05,1.4683224606511547,0.05370405555990783,0.055174932429804355
1.0,0.015960636602185736,1,datasets_sb01.npz,0.984596802199864,0.97992916190848,0.9845968021998599,2,0.45681283319498023,unconstrained_1tok_mc,0.07251039096692738,0.07803256037337049,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.08357206062025828,0.9996442727448352,0.9999226137477794,0.9163981999408799,0.916072212124577,27,1.4100020052865148e-05,0.09853089950047433,1.0800429999944754,1.1785738994949497,1.1797044000122696,1.1789932995452546,3.600143333314918e-05,0.0003630000283010304,1.2999982573091984e-05,7.77999812271446e-05,1.179795699979877,4.230000195093453e-05,1.512380771204748,0.05653379372813946,0.062055963134582566
1.0,0.017073282963331174,1,datasets_sb01.npz,0.9824440535579992,0.9765217259368569,0.9824440535579981,2,0.49343057867644446,unconstrained_1tok_mc,0.062248588769193314,0.054820771848878166,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.08483782128660301,0.9996429054392397,0.9999199005547247,0.9151318727667801,0.9148050841526367,28,1.3899989426136017e-05,0.1013982997101266,1.0933764999208506,1.1947747996309772,1.1959175000083633,1.195201599621214,3.644588333069502e-05,0.0003724000125657767,1.2500007869675756e-05,8.269998943433166e-05,1.196013300010236,4.049998824484646e-05,1.471457528439554,0.045158232522898814,0.03773041560258366
1.0,0.017407664994989292,1,datasets_sb01.npz,0.7707316520828635,0.7719348112984785,0.7707316520828659,2,0.2325579581014945,unconstrained_1tok_mc,0.07539330614680141,0.08101549604480002,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.0926064211957522,0.9996478098581592,0.999929392605095,0.9073609522448789,0.9070413886624069,29,1.3400014722719789e-05,0.10970039971289225,1.0744698003400117,1.184170200052904,1.18534450000152,1.184587400057353,3.581566001133372e-05,0.00035940000088885427,1.0599993402138352e-05,7.259999983943999e-05,1.1854281999985687,4.439998883754015e-05,1.3089053460642326,0.05796823348681713,0.06359042338481574
1.0,0.015786483635528398,1,datasets_sb01.npz,0.9903775220450197,0.9844943469743788,0.9903775220450232,2,0.48114934892724825,unconstrained_1tok_mc,0.06750138804062447,0.07009666889017738,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.1129826914776425,0.9996118728364983,0.9999262027076217,0.8869734398441639,0.8866291813588558,30,1.580000389367342e-05,0.13279849974787794,1.0421333000413142,1.1749317997891922,1.1761080000142101,1.1753879997995682,3.4737776668043805e-05,0.0004057000041939318,1.0399991879239678e-05,7.580002420581877e-05,1.17619480000576,3.470000228844583e-05,1.4996056951627912,0.05169911792146054,0.05429439877101345
1.0,0.02676221853523922,1,datasets_sb01.npz,0.47566527267332104,0.47097498083745903,0.47566527267332,2,-0.14979201696720934,unconstrained_1tok_mc,0.10183174228563054,0.09946367144425351,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.09470407833456597,0.9996617842354061,0.999938070904639,0.9052638804163143,0.9049577059008401,31,1.2100004823878407e-05,0.11385240007075481,1.0879320995591115,1.2017844996298663,1.2029143999970984,1.2021910996118095,3.626440331863705e-05,0.0003460999869275838,1.1399999493733048e-05,6.250001024454832e-05,1.2029889000114053,4.839999019168317e-05,1.1011225623138514,0.07504276153185609,0.07267469069047906
1.0,0.015501085428746763,1,datasets_sb01.npz,1.090652386809334,1.0891204817031293,1.0906523868093363,2,0.5908991142195399,unconstrained_1tok_mc,0.06501284190551053,0.06777179109645536,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.08682954124912817,0.9996515568772508,0.9999267631129708,0.9131401930484963,0.9128220156281227,32,1.2499978765845299e-05,0.10426229954464361,1.0960892002331093,1.200351499777753,1.2014922999951523,1.2007698997913394,3.6536306674436975e-05,0.00036600002204068005,1.1099997209385037e-05,7.6299998909235e-05,1.2015802999958396,3.99000127799809e-05,1.5904056593991283,0.049496255391335016,0.05225520458227984
1.0,0.014564237352151356,1,datasets_sb01.npz,0.7727772421498558,0.7697086440085423,0.7727772421498564,2,0.2929472412205103,unconstrained_1tok_mc,0.0599325358683506,0.05974368061774744,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.08096065991511693,0.999638053507308,0.9999301553812989,0.9190100260478679,0.9186773935921911,33,1.3499986380338669e-05,0.09846450030454434,1.11729709955398,1.2157615998585243,1.2169021999870893,1.21620179983438,3.724323665179933e-05,0.00037480000173673034,1.1800002539530396e-05,7.270000060088933e-05,1.216987199994037,5.189998773857951e-05,1.2526072430792012,0.0453537342788471,0.04516487902824393
1.0,0.016563077511238748,1,datasets_sb01.npz,0.7926913363870203,0.7952848649647395,0.7926913363870199,2,0.26262592154216824,unconstrained_1tok_mc,0.07313862557649031,0.0784518944670777,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.08761852695569616,0.9996445480526214,0.9999273708711386,0.9123503177940766,0.9120260210969252,34,1.4399993233382702e-05,0.10488529974827543,1.091756799898576,1.1966420996468514,1.197779799986165,1.1970675996562932,3.639189332995253e-05,0.0003727000148501247,1.0600022505968809e-05,7.54999928176403e-05,1.1978668000083417,3.840000135824084e-05,1.3227567512318723,0.05655898498774032,0.061872253878327725
1.0,0.01635681914127294,1,datasets_sb01.npz,0.6849648481876125,0.6791735627557952,0.684964848187614,2,0.17799793437716915,unconstrained_1tok_mc,0.06690323086695273,0.0694523328641524,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.08550721272082813,0.9996594523751713,0.9999377173782866,0.9144636580810949,0.9141522396543431,35,1.3399985618889332e-05,0.10372419949271716,1.108908900845563,1.2126331003382802,1.2137464999977965,1.2130462003406137,3.6963630028185436e-05,0.00036120001459494233,9.400013368576765e-06,6.560000474564731e-05,1.2138221000204794,3.850000211969018e-05,1.1919317619980558,0.050530054906538516,0.05307915690373819
1.0,0.01504340431817688,1,datasets_sb01.npz,0.7138569032065746,0.7181674375349678,0.7138569032065759,2,0.23466754354992925,unconstrained_1tok_mc,0.0597726057913749,0.06107846793126569,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.08538979903856976,0.9996567908741284,0.9999320184713456,0.9145808843414124,0.9142669918355587,36,1.2800010154023767e-05,0.10280340051394887,1.1007140993024223,1.2035174998163711,1.2046572999970522,1.203930699819466,3.669046997674741e-05,0.00035600000410340726,1.1199997970834374e-05,7.010000990703702e-05,1.2047392000094987,4.439998883754015e-05,1.19304626286322,0.04471415806887985,0.046020020208770634
1.0,0.01608931006939892,1,datasets_sb01.npz,0.7425761069045561,0.7452393263044168,0.7425761069045572,2,0.2059341452533734,unconstrained_1tok_mc,0.0749647529687707,0.08236185383087083,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.11408945292260317,0.9996083486257443,0.9999271505209242,0.8858658462792426,0.8855188957031411,37,1.5099998563528061e-05,0.13318399994750507,1.0337234997423366,1.1669074996898416,1.1680767000070773,1.1673646996787284,3.445744999141122e-05,0.00040109999827109277,1.1399999493733048e-05,7.300000288523734e-05,1.1681617999856826,4.099999205209315e-05,1.2792180685557388,0.05885935358930239,0.0662564544514025
1.0,0.019545151075861727,1,datasets_sb01.npz,0.9558703775229103,0.9575601341791273,0.955870377522908,2,0.40720790510208205,unconstrained_1tok_mc,0.07836071132937739,0.07391731160976787,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.09383945667749001,0.9996437937167095,0.9999280199199303,0.9061271052075542,0.9058043370392195,38,1.3899989426136017e-05,0.11204159932094626,1.0815042007598095,1.1935458000807557,1.1946891999978106,1.1939711000886746,3.605014002532698e-05,0.00037250001332722604,1.0500021744519472e-05,7.479998748749495e-05,1.1947752000123728,3.890000516548753e-05,1.5045328499437385,0.05879601510243981,0.05435261538283029
1.0,0.01980335125260477,1,datasets_sb01.npz,1.1237049892576696,1.1231519341654796,1.1237049892576692,2,0.5788741751553758,unconstrained_1tok_mc,0.07727004789550403,0.07176033885808891,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.0836641534569496,0.9996396049148711,0.9999357331980798,0.9163056835227388,0.9159754514579215,39,1.4399993233382702e-05,0.10056550047011115,1.1010154993273318,1.201580999797443,1.2027211000095122,1.2020141998073086,3.670051664424439e-05,0.00037980001070536673,1.1399999493733048e-05,6.53000024612993e-05,1.2027984000160359,3.9000005926936865e-05,1.6685358033599633,0.05744689329164666,0.051937184254231536
1.0,0.018039959405894743,1,datasets_sb01.npz,1.3430725315406307,1.3413219494776332,1.3430725315406302,2,0.8223475839086902,unconstrained_1tok_mc,0.07058373362304432,0.06800252593357982,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.08282776044514255,0.9996171005430426,0.999910874819926,0.9171405127021673,0.9167893400979001,40,1.5199999324977398e-05,0.10132300059194677,1.1215061997354496,1.2228292003273964,1.2240116999892052,1.223297600314254,3.738353999118166e-05,0.0004175000067334622,9.99998883344233e-06,9.809999028220773e-05,1.2241207999759354,3.5699980799108744e-05,1.863797479172571,0.05252573425774369,0.049944526568279184
