beta,bwVar,covers_true,dataset_file,est,est_med,estdiff,ll,method,miVar,miVarpaired,n_mcmc,n_sampling_draws,pstar,result_file,share_estimation_in_method,share_mcmc_in_method,share_method_in_sim,share_sampling_in_mcmc,share_sampling_in_method,sim,time_allocation,time_mcmc_estimation,time_mcmc_sampling,time_mcmc_total,time_method_call,time_method_total,time_per_sampling_draw,time_setup,time_sim_post,time_sim_prep,time_sim_total,time_summary,ul,wiVar,wiVarpaired
1.0,0.034886332716404074,1,datasets_sb01.npz,0.8185130754521254,0.8085620818032299,0.8185130754521227,0.14810383808284666,unconstrained_1to1,0.11699514409362193,0.11564949419627149,1000,30000,0.5,results\unconstrained_1to1_beta1_profile_2.csv,0.858120286467754,0.9980846657424222,0.9991460479670643,0.14023297229053827,0.13996437927466823,23,2.600019797682762e-06,0.05739219987299293,0.009360999567434192,0.06675319944042712,0.06739359989296645,0.06688129948452115,3.1203331891447306e-07,9.980006143450737e-05,7.900060154497623e-06,4.930002614855766e-05,0.0674511999823153,2.5699962861835957e-05,1.488922312821404,0.08207392504450145,0.08072827514715102
1.0,0.02815434573093795,1,datasets_sb01.npz,0.7960355253247753,0.794526305284017,0.796035525324773,0.21422768998411723,unconstrained_1to1,0.08811442036229236,0.08793153699922564,1000,30000,0.5,results\unconstrained_1to1_beta1_profile_2.csv,0.857143545046615,0.9979359196139289,0.9990576247790142,0.14108358242258903,0.14079237456731394,24,2.500019036233425e-06,0.052406699513085186,0.00860820070374757,0.06101490021683276,0.06159459997434169,0.06114110036287457,2.8694002345825237e-07,0.00010090006981045008,6.7999353632330894e-06,5.080003757029772e-05,0.06165269995108247,2.280005719512701e-05,1.3778433606654334,0.05993192028562348,0.05974903692255675
1.0,0.035754642985412394,1,datasets_sb01.npz,1.3019801464104481,1.2987151951410887,1.3019801464104486,0.6265737011861042,unconstrained_1to1,0.11874580025265113,0.1184163848882065,1000,30000,0.5,results\unconstrained_1to1_beta1_profile_2.csv,0.8571591286302616,0.9981183740646763,0.9992020297043537,0.14122497801576475,0.14095924543441476,25,2.200016751885414e-06,0.05266060039866716,0.008660000516101718,0.061320600914768875,0.061857699998654425,0.061436200863681734,2.8866668387005725e-07,9.079999290406704e-05,6.400048732757568e-06,4.239997360855341e-05,0.06190710002556443,2.259993925690651e-05,1.977386591634792,0.08295540262425334,0.08262598725980869
1.0,0.03444468715797187,1,datasets_sb01.npz,0.9553080543955899,0.9615331789600845,0.9553080543955862,0.3131239476095766,unconstrained_1to1,0.10735121486061788,0.10672457544615391,1000,30000,0.5,results\unconstrained_1to1_beta1_profile_2.csv,0.8580267239247602,0.9982232710373602,0.9992851923493693,0.1404460817337055,0.14019654711259993,26,2.300017513334751e-06,0.052542296005412936,0.008585103787481785,0.06112739979289472,0.06165080005303025,0.06123619992285967,2.861701262493928e-07,8.500006515532732e-05,6.100046448409557e-06,3.7499936297535896e-05,0.061694900039583445,2.150004729628563e-05,1.597492161181603,0.07287208301548805,0.07224544360102407
1.0,0.034183662293200134,1,datasets_sb01.npz,0.9837802763250456,0.993332872052796,0.9837802763250398,0.3228860210234803,unconstrained_1to1,0.113697734457156,0.11297549891241376,1000,30000,0.5,results\unconstrained_1to1_beta1_profile_2.csv,0.8610714195802381,0.9982032653987029,0.9992741500148015,0.13737867884422467,0.13713184581846474,27,2.300017513334751e-06,0.054633604362607,0.008700796286575496,0.0633344006491825,0.06387850001920015,0.06344840058591217,2.900265428858499e-07,8.809997234493494e-05,6.8999361246824265e-06,3.909994848072529e-05,0.06392489990685135,2.359994687139988e-05,1.644674531626611,0.07947988850166267,0.07875765295692043
1.0,0.03294662667394273,1,datasets_sb01.npz,0.994878564561175,0.9902578782311169,0.9948785645611724,0.40908824563325374,unconstrained_1to1,0.08932483802313507,0.08852761706518228,1000,30000,0.5,results\unconstrained_1to1_beta1_profile_2.csv,0.8580790556506426,0.9981146073675222,0.9991957912482258,0.1403000724397937,0.14003555171687962,28,2.600019797682762e-06,0.05315799789968878,0.008675202494487166,0.06183320039417595,0.0623713000677526,0.06195000046864152,2.8917341648290555e-07,9.23000043258071e-05,6.8999361246824265e-06,4.279997665435076e-05,0.06242149998433888,2.1900050342082977e-05,1.5806688834890963,0.056345264722518405,0.05554804376456562
1.0,0.03451319425825002,1,datasets_sb01.npz,0.7849339573559678,0.7863082472597397,0.7849339573559683,0.11904065496821681,unconstrained_1to1,0.11542427378302395,0.11498368025044953,1000,30000,0.5,results\unconstrained_1to1_beta1_profile_2.csv,0.8579172501447531,0.9982705507641471,0.9993090351169224,0.14059645505114585,0.14035330061939402,29,2.00001522898674e-06,0.055063102627173066,0.009008197695948184,0.06407130032312125,0.06464759993832558,0.06418230035342276,3.002732565316061e-07,8.399994112551212e-05,6.500049494206905e-06,3.790005575865507e-05,0.0646923000458628,2.5000073947012424e-05,1.4508272597437188,0.08087656633051568,0.08043597279794125
1.0,0.03122829758055968,1,datasets_sb01.npz,0.9833588382383037,0.9844464753210451,0.9833588382383049,0.35494770924821417,unconstrained_1to1,0.10279585251941874,0.10158036387275123,1000,30000,0.5,results\unconstrained_1to1_beta1_profile_2.csv,0.8646013554609598,0.9980099166305832,0.9992094274508215,0.13367458473762345,0.1334085611696234,30,2.299901098012924e-06,0.05808659945614636,0.008962800726294518,0.06704940018244088,0.0676188999786973,0.06718310015276074,2.9876002420981725e-07,0.00010679999832063913,8.699949830770493e-06,4.429998807609081e-05,0.06767239992041141,2.4600070901215076e-05,1.6117699672283932,0.0715363266412785,0.07032083799461099
1.0,0.05086952294140957,1,datasets_sb01.npz,0.475737042598016,0.47953158405296953,0.47573704259801436,-0.2822382359366294,unconstrained_1to1,0.1495539678440424,0.14895975965877464,1000,30000,0.5,results\unconstrained_1to1_beta1_profile_2.csv,0.8570168893392921,0.9979827128587233,0.9990451662547902,0.14125076687514385,0.14096582351943113,31,2.400018274784088e-06,0.0529770995490253,0.008713901159353554,0.06169100070837885,0.062254999997094274,0.0618157007265836,2.904633719784518e-07,9.769992902874947e-05,7.79994297772646e-06,5.1200040616095066e-05,0.06231449998449534,2.4600070901215076e-05,1.2337123211326615,0.09863357537969142,0.09803936719442367
1.0,0.03089134416711442,1,datasets_sb01.npz,1.0892807528284516,1.0796138084107754,1.089280752828452,0.47307314168669823,unconstrained_1to1,0.09884210225661869,0.09847749042075682,1000,30000,0.5,results\unconstrained_1to1_beta1_profile_2.csv,0.8560549103495205,0.9979549705763957,0.9990597510650708,0.1421908446880293,0.14190006022687515,32,2.700020559132099e-06,0.05094399966765195,0.008444501087069511,0.05938850075472146,0.05992779997177422,0.05951020086649805,2.8148336956898374e-07,9.460002183914185e-05,7.900060154497623e-06,4.800001624971628e-05,0.05998420005198568,2.4400069378316402e-05,1.705488363970205,0.06791986674533716,0.06755525490947528
